,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,Wine Year
467,467,US,"Dense, dark and spicy, this opens with a thicket of briar and bramble—one almost wants to say thistle—wrapped around taut, compact black fruits. There is a hint of gun metal running through the palate, and as the wine warms and slowly opens, it reveals a lingering finish with a little pat of butter left on the tongue. This should be in fine shape for at least another decade.",Evenstad Reserve,92,65.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Domaine Serene 2010 Evenstad Reserve Pinot Noir (Willamette Valley),Pinot Noir,Domaine Serene,2010
480,480,US,"This Stella Mae is 50% Cabernet Sauvignon, 30% Merlot and 20% Cabernet Franc. It remains a rather lean wine in the Sparkman portfolio, despite having alcohol at 14.6%. Here are lightly earthy flavors of strawberry and herb, with a hint of green in the tannins.",Stella Mae,87,45.0,Washington,Red Mountain,Columbia Valley,Paul Gregutt,@paulgwine ,Sparkman 2009 Stella Mae Red (Red Mountain),Bordeaux-style Red Blend,Sparkman,2009
495,495,US,"This El Dorado wine opens with aromas of sweet floral jasmine and is very pretty through and through. Its acidity sings perfectly through the middle of the wine, lifting the flavors of apple and dried apricot as well as the notes of lemon and lime on the finish. This should pair with a range of midweek dinners.",Battonage,87,18.0,California,El Dorado,Sierra Foothills,Virginie Boone,@vboone,Lava Cap 2010 Battonage Chardonnay (El Dorado),Chardonnay,Lava Cap,2010
497,497,US,"This wine has the variety's trademark notes of herb, green bell pepper, with a woodsy qulaity. This is a full-bodied effort, bearing a long, spicy finish.",Babcock Vineyard,87,30.0,California,Suisun Valley,North Coast,Virginie Boone,@vboone,MICA Cellars 2009 Babcock Vineyard Cabernet Franc (Suisun Valley),Cabernet Franc,MICA Cellars,2009
501,501,US,A Verdelho with a taste of nuts—like Marcona almonds—it gets more fruity and aromatic after a good swirl. This is marked by a tangy sweetness on the finish.,Silvaspoons Vineyard,87,15.0,California,Lodi,Central Valley,Virginie Boone,@vboone,Fenestra 2010 Silvaspoons Vineyard Verdelho (Lodi),Verdelho,Fenestra,2010
507,507,US,"Medium bodied, this sharply defined wine brings in plenty of notes of herb, root and earth around its light berry fruit. It captures the defining flavors of Wahluke Slope Syrah in a somewhat muted style, reflecting the abbreviated growing season.",Clifton Vineyard,87,28.0,Washington,Wahluke Slope,Columbia Valley,Paul Gregutt,@paulgwine ,Camaraderie 2009 Clifton Vineyard Syrah (Wahluke Slope),Syrah,Camaraderie,2009
509,509,US,"This would be a straightforward Bordeaux red blend if not for the 5% Petite Sirah within. Together, it's 74% Cabernet Sauvignon, 12% Merlot, 7% Cabernet Franc and 2% Malbec as well, sourced from Howell Mountain and valley floor sites. Dusty and herbal, the wine is thick and sizably tannic, with dense black fruit, leather and coffee.",Quantum,91,65.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Beringer 2014 Quantum Red (Napa Valley),Red Blend,Beringer,2014
510,510,US,"Flint and smoke aromas show strongly on this bottling, alongside hints of lemon balm and a rustic apple cider vinegar savory kick. Tangy smoked tangerine flavors show on the energized sip, where a unique sandalwood smoky quality plays with more cider-like tang.",Coastview Vineyard,91,48.0,California,Monterey County,Central Coast,Matt Kettmann,@mattkettmann,Big Basin 2014 Coastview Vineyard Chardonnay (Monterey County),Chardonnay,Big Basin,2014
513,513,US,"Big tannins support the layers of extracted, concentrated fruit that leans red into cherry, cassis and currant. Char and vanilla speak for the oak.",El Adobo Ranch Vineyard,91,90.0,California,Chiles Valley,Napa,Virginie Boone,@vboone,Conn Creek 2013 El Adobo Ranch Vineyard Cabernet Sauvignon (Chiles Valley),Cabernet Sauvignon,Conn Creek,2013
515,515,US,"Delicate in cranberry and strawberry, this wine is highlighted in uplifted acidity and plenty of length and breadth within its medium-bodied structure. A pleasing streak of cardamom is consistent throughout, as accents of forest floor and cola figure in.",Silver Eagle Vineyard,91,75.0,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,D.R. Stephens 2014 Silver Eagle Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,D.R. Stephens,2014
516,516,US,"This is a relatively thick and dense wine, grippy in tannin and oak at first, youthful and desiring of time and air. Beyond its strength, its shows the beginnings of delicacy and grace, commingling raspberry with clove and tea.",Soul Patch Estate Grown,91,55.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Davis Family 2014 Soul Patch Estate Grown Pinot Noir (Russian River Valley),Pinot Noir,Davis Family,2014
517,517,US,"This is a soft, smooth and earthy wine, still unraveling from its youth, that's crisp and fresh in acidity. Chewy still in texture, it offers a glorious celebration of red cherry, rhubarb, tea and clove.",Starr Ridge Vineyard,91,55.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Davis Family 2014 Starr Ridge Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Davis Family,2014
519,519,US,"Deliciously fruity but also well-structured, this full-bodied wine has excellent concentration and good balance. Effusive aromas of blueberry and black cherry lead to opulent but not overripe berry flavors that are lightly accented by clove and cinnamon nuances.",The Brat,91,36.0,California,Calaveras County,Sierra Foothills,Jim Gordon,@gordone_cellars,Prospect 772 2014 The Brat Grenache (Calaveras County),Grenache,Prospect 772,2014
520,520,US,"Bob Lindquist is almost certainly the only vintner in America that is drying Marsanne on straw mats to make a dessert wine. The result is aromas of Asian pear, white peach, baked apple and baking spice, more fresh rather than sweet. It is viscous on the sip, and the sweetness steadily grows on the palate, offering cotton candy flavors. Fascinating stuff.",Doux Sawyer Lindquist Vineyard,91,35.0,California,Edna Valley,Central Coast,Matt Kettmann,@mattkettmann,Qupé 2013 Doux Sawyer Lindquist Vineyard Marsanne (Edna Valley),Marsanne,Qupé,2013
521,521,US,"This is a delicate yet flavorful take on this grape, from a biodynamic, cool-climate vineyard. Light red plum and hibiscus aromas meet with sweet herbs and cinnamon spice on the nose. The lithe palate offers candied strawberry with thyme, anise and touches of garden herbs, with that red fruit flavor carrying deep into the finish. Would pair great with spicy food.",Sawyer Lindquist Vineyard,91,35.0,California,Edna Valley,Central Coast,Matt Kettmann,@mattkettmann,Qupé 2013 Sawyer Lindquist Vineyard Grenache (Edna Valley),Grenache,Qupé,2013
522,522,US,"The Sims is amped up in 2014, dark and thick and showing a roasted character. Mocha, black tea and Kahlua flavors push the palate into a gritty charred mode. It's delicious, liquorous, and suitable for smoky ribs or a juicy burger. Drink now through 2020.",Sims Vineyard,91,55.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Rex Hill 2014 Sims Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Rex Hill,2014
523,523,US,"There's a whiff of volatility upon opening, then a rush of bright, tangy orange and cherry fruit. The 20% new oak aging does not really come through in scent or flavor. Though not in any way effervescent, this young release carries an impression of carbonation in the finish. Give it another year or two of bottle age and drink after 2019.",Steve's Reserve,91,65.0,Oregon,Chehalem Mountains,Willamette Valley,Paul Gregutt,@paulgwine ,Ruby 2015 Steve's Reserve Pinot Noir (Chehalem Mountains),Pinot Noir,Ruby,2015
524,524,US,"Wood spice, cherry and herb aromas are followed by luscious cherry flavors. It keeps you coming back for more with a high yum factor.",Wallula,91,35.0,Washington,Horse Heaven Hills,Columbia Valley,Sean P. Sullivan,@wawinereport,Structure 2014 Wallula Syrah (Horse Heaven Hills),Syrah,Structure,2014
525,525,US,"There's an expert balance between lightly melted butter, pithy Meyer lemon and toasted marcona almond on the nose of this bottling from the region's iconic vineyard. The palate is wound up tightly, offering good grip and lots of textural length while showing flavors of chamomile, saffron, sea salt and more Meyer lemon rinds.",Rincon Vineyard,91,49.0,California,Arroyo Grande Valley,Central Coast,Matt Kettmann,@mattkettmann,Testarossa 2015 Rincon Vineyard Chardonnay (Arroyo Grande Valley),Chardonnay,Testarossa,2015
526,526,US,"Just 8% of this reserve spent time in new oak, putting the emphasis on juicy jammy flavors of cranberry fruit. It rolls into sour cherry, some citrus and a most refreshing, clean and vivid mouthfeel. Drink now and into the mid-2020s.",Prince Hill Vineyard Reserve,91,55.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Tumwater 2014 Prince Hill Vineyard Reserve Pinot Noir (Dundee Hills),Pinot Noir,Tumwater,2014
529,529,US,"From the sought-after site on Westside Road, this wine delivers a nuanced, elegant expression of juicy red cherry, plum, pomegranate and light, compelling spice. With a depth of body and soft, integrated tannin, it's complex without being overpowering, finishing in a mix of sautéed mushroom and forest floor.",Bucher Vineyard,91,45.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Joseph Jewell 2014 Bucher Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Joseph Jewell,2014
531,531,US,"One of a crop of new Oregon sparklers, this was barrel fermented with native yeast and aged for 56 months prior to disgorging. Fine tiny bubbles and a fresh, yeasty aroma introduce the wine, which has excellent concentration. Green apple and green banana, a touch of cucumber and a nice toasty frame all combine gracefully. The odds are that this will continue to improve in bottle for another five years at least.",Blanc de Noir,91,50.0,Oregon,Oregon,Oregon Other,Paul Gregutt,@paulgwine ,Le Cadeau 2011 Blanc de Noir Sparkling (Oregon),Sparkling Blend,Le Cadeau,2011
532,532,US,"Scott Shull (Raptor Ridge) consults here. This brings a blend of clones from the estate vineyard, with ample new wood still showing through. Black fruits and a vein of coffee are also in the mix, with a balanced, somewhat muscular mouthfeel. This has the strength to stand up to a lightly blackened grilled seafood filet.",Diversité,91,50.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Le Cadeau 2015 Diversité Pinot Noir (Willamette Valley),Pinot Noir,Le Cadeau,2015
533,533,US,"Slightly liquorous when first opened, this pushes the alcohol up towards a place where some of the nuances are lost. But it has plenty of flavor, power and punch. Black coffee, black cherry, black olive and black licorice are entwined here, with some heat in the follow-through. Give it a good decanting and it will start to smooth out.",Équinoxe,91,50.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Le Cadeau 2015 Équinoxe Pinot Noir (Willamette Valley),Pinot Noir,Le Cadeau,2015
534,534,US,"Black plum, charred wood, coffee syrup and cracked black pepper show on the excellently bright nose of this bottling. The flavors are equally intriguing, with umami touches of charred beef along with rosemary, bay leaf, olie and more black pepper.",Di Domenico,91,38.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Le Vigne 2014 Di Domenico Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Le Vigne,2014
538,538,US,"This is sourced from 30-year-old Wädenswil vines from a vineyard in the Elkton AVA. It's complex and compelling, showing layers of stone, strawberry, citrus, chocolate and sassafras. It's an elegant wine, well proportioned and modest in scope, but delicious.",Bradley Vineyard,91,45.0,Oregon,Umpqua Valley,Southern Oregon,Paul Gregutt,@paulgwine ,Paul O'Brien 2014 Bradley Vineyard Pinot Noir (Umpqua Valley),Pinot Noir,Paul O'Brien,2014
539,539,US,"Bright pomegranate and dried strawberry notes start the aromas on this bottling and then descend into more brooding cola, smoked herbs, cinnamon and spicy hibiscus. There is herbal and mineral depth to the palate, with raspberry, cranberry and pencil lead flavors that evolve toward fruit punch, thyme and earth. It's light in body but full of grippy texture.",Twin Creeks Estate,93,42.0,California,Edna Valley,Central Coast,Matt Kettmann,@mattkettmann,Claiborne & Churchill 2014 Twin Creeks Estate Pinot Noir (Edna Valley),Pinot Noir,Claiborne & Churchill,2014
540,540,US,"A touch of earthy funk shows at first on the nose of this bottling, laced throughout the dark cranberry, pomegranate, crushed grapeseeds and a lavish layer of violets. The palate is heavily spiced with clove, gingerbread, a touch of juniper, lots of earthy sagebrush and a strong cranberry fruit, all seasoned by an iron-powered minerality.",Bien Nacido Vineyard,93,60.0,California,Santa Maria Valley,Central Coast,Matt Kettmann,@mattkettmann,Flying Goat Cellars 2012 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Flying Goat Cellars,2012
541,541,US,"From one of the more exciting and westernmost vineyards in the region, this bottling shows earthy, gamey aromas alongside ripe red and purple fruits, pairing plum and black cherry with minty, musky herbs. The palate shows dried olive, tart orange peels, red plums, baked figs and pine needles, proving deliciously savory and intense.",Solomon Hills Vineyard,93,42.0,California,Santa Maria Valley,Central Coast,Matt Kettmann,@mattkettmann,Flying Goat Cellars 2012 Solomon Hills Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Flying Goat Cellars,2012
543,543,US,"Strong elements of black pepper and smoky oak beg for steak to be paired with this 100% varietal wine. It showcases sizable weight and a solid tannic structure, with supple expressions of black cherry and chocolate that linger long on the rich finish. This bold beauty should hold well through 2023.",Cañon Creek Vineyard,93,75.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Midsummer Cellars 2013 Cañon Creek Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Midsummer Cellars,2013
544,544,US,"From Paso's blending vanguards, this mix of 62% Syrah, 19% Petite Sirah, 13% Cabernet Sauvignon and 6% Malbec offers an intriguing nose of sesame, soy, cracked pepper, fresh blackberry and raw beef. There is cedar and toasted pine on the palate as well as smoked meats, black pepper, teriyaki and an elderberry-blackberry base.",Reckoning,93,54.0,California,Templeton Gap District,Central Coast,Matt Kettmann,@mattkettmann,ONX 2013 Reckoning Red (Templeton Gap District),Red Blend,ONX,2013
